rating,numVotes_x,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,age,startYear_y,rating_y,numVotes_y
7.1,869.0,Tarzan,Tarzan,0,1966,1968,60,"Action,Adventure",G,1999,9.5,80
7.1,869.0,Tarzan,Tarzan,0,1966,1968,60,"Action,Adventure",G,1999,9.5,80
7.1,869.0,Tarzan,Tarzan,0,1966,1968,60,"Action,Adventure",G,1999,9.5,80
7.1,869.0,Tarzan,Tarzan,0,1966,1968,60,"Action,Adventure",G,1999,9.5,80
7.1,869.0,Tarzan,Tarzan,0,1966,1968,60,"Action,Adventure",G,1999,9.5,80
6.6,839.0,Tarzan,Tarzan,0,2003,2003,60,"Action,Adventure,Drama",G,1999,9.5,80
6.6,839.0,Tarzan,Tarzan,0,2003,2003,60,"Action,Adventure,Drama",G,1999,9.5,80
6.6,839.0,Tarzan,Tarzan,0,2003,2003,60,"Action,Adventure,Drama",G,1999,9.5,80
6.6,839.0,Tarzan,Tarzan,0,2003,2003,60,"Action,Adventure,Drama",G,1999,9.5,80
6.6,839.0,Tarzan,Tarzan,0,2003,2003,60,"Action,Adventure,Drama",G,1999,9.5,80
7.7,32.0,The Fosters,The Fosters,0,1976,1977,30,"Comedy,Family",TV-14,2016,7.3,80
7.9,26207.0,The Fosters,The Fosters,0,2013,2018,60,"Drama,Romance",TV-14,2016,7.3,80
7.4,55.0,Friends,Friends,0,1979,1979,60,"Comedy,Drama",TV-14,2003,9.8,80
7.4,55.0,Friends,Friends,0,1979,1979,60,"Comedy,Drama",TV-14,2003,9.8,80
7.4,55.0,Friends,Friends,0,1979,1979,60,"Comedy,Drama",TV-14,2003,9.8,80
7.4,55.0,Friends,Friends,0,1979,1979,60,"Comedy,Drama",TV-14,2003,9.8,80
7.4,55.0,Friends,Friends,0,1979,1979,60,"Comedy,Drama",TV-14,2003,9.8,80
8.8,898932.0,Friends,Friends,0,1994,2004,22,"Comedy,Romance",TV-14,2003,9.8,80
8.8,898932.0,Friends,Friends,0,1994,2004,22,"Comedy,Romance",TV-14,2003,9.8,80
8.8,898932.0,Friends,Friends,0,1994,2004,22,"Comedy,Romance",TV-14,2003,9.8,80
8.8,898932.0,Friends,Friends,0,1994,2004,22,"Comedy,Romance",TV-14,2003,9.8,80
8.8,898932.0,Friends,Friends,0,1994,2004,22,"Comedy,Romance",TV-14,2003,9.8,80
7.8,194.0,Friends,Friends,0,2002,\N,50,"Drama,Romance",TV-14,2003,9.8,80
7.8,194.0,Friends,Friends,0,2002,\N,50,"Drama,Romance",TV-14,2003,9.8,80
7.8,194.0,Friends,Friends,0,2002,\N,50,"Drama,Romance",TV-14,2003,9.8,80
7.8,194.0,Friends,Friends,0,2002,\N,50,"Drama,Romance",TV-14,2003,9.8,80
7.8,194.0,Friends,Friends,0,2002,\N,50,"Drama,Romance",TV-14,2003,9.8,80
8.5,26.0,Home,Home,0,1983,1983,25,"Drama,Family",PG,2015,9.4,80
8.5,26.0,Home,Home,0,1983,1983,25,"Drama,Family",PG,2015,9.4,80
8.5,26.0,Home,Home,0,1983,1983,25,"Drama,Family",PG,2015,9.4,80
4.3,12.0,Home,Home,0,1954,1957,60,"Family,Talk-Show",PG,2015,9.4,80
4.3,12.0,Home,Home,0,1954,1957,60,"Family,Talk-Show",PG,2015,9.4,80
4.3,12.0,Home,Home,0,1954,1957,60,"Family,Talk-Show",PG,2015,9.4,80
7.4,537.0,Home,Home,0,2020,\N,30,Documentary,PG,2015,9.4,80
7.4,537.0,Home,Home,0,2020,\N,30,Documentary,PG,2015,9.4,80
7.4,537.0,Home,Home,0,2020,\N,30,Documentary,PG,2015,9.4,80
8.2,220.0,Home,Home,0,2018,\N,\N,Drama,PG,2015,9.4,80
8.2,220.0,Home,Home,0,2018,\N,\N,Drama,PG,2015,9.4,80
8.2,220.0,Home,Home,0,2018,\N,\N,Drama,PG,2015,9.4,80
7.9,863.0,Home,Home,0,2019,2020,27,"Comedy,Drama",PG,2015,9.4,80
7.9,863.0,Home,Home,0,2019,2020,27,"Comedy,Drama",PG,2015,9.4,80
7.9,863.0,Home,Home,0,2019,2020,27,"Comedy,Drama",PG,2015,9.4,80
7.4,33.0,Jessie,Jessie,0,1984,1984,60,Drama,TV-G,2015,8.8,80
7.4,33.0,Jessie,Jessie,0,1984,1984,60,Drama,TV-G,2015,8.8,80
6.0,14151.0,Jessie,Jessie,0,2011,2015,30,"Comedy,Drama,Family",TV-G,2015,8.8,80
6.0,14151.0,Jessie,Jessie,0,2011,2015,30,"Comedy,Drama,Family",TV-G,2015,8.8,80
7.3,214.0,Bordertown,Bordertown,0,1989,1991,30,"Adventure,Western",TV-14,2016,8.6,80
7.3,214.0,Bordertown,Bordertown,0,1989,1991,30,"Adventure,Western",TV-14,2016,8.6,80
5.4,2931.0,Bordertown,Bordertown,0,2016,2016,21,"Animation,Comedy",TV-14,2016,8.6,80
5.4,2931.0,Bordertown,Bordertown,0,2016,2016,21,"Animation,Comedy",TV-14,2016,8.6,80
7.7,36.0,Heartland,Heartland,0,1989,\N,30,Comedy,TV-PG,2015,8.5,80
6.0,247.0,Heartland,Heartland,0,2007,2007,\N,Drama,TV-PG,2015,8.5,80
9.7,362.0,Heartland,Heartland,0,1979,1980,60,Drama,TV-PG,2015,8.5,80
8.4,12593.0,Heartland,Heartland,0,2007,\N,45,"Drama,Family",TV-PG,2015,8.5,80
