rating,numVotes,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,S.no.,startYear_y,No of seasons available,Language,genre_y,rating_y,age
7.7,742.0,The Adventures of Robin Hood,The Adventures of Robin Hood,0,1955,1960,30,"Action,Adventure,Family",243,1956.0,4.0,English,Adventure,,13+
7.6,139.0,The Buccaneers,The Buccaneers,0,1956,1957,30,"Adventure,Drama",251,1957.0,1.0,English,Action,,13+
7.6,954.0,The Real McCoys,The Real McCoys,0,1957,1963,30,"Comedy,Family",384,1958.0,6.0,English,Comedy,7.5,All
8.0,1241.0,Peter Gunn,Peter Gunn,0,1958,1961,30,"Action,Crime,Drama",207,1959.0,3.0,English,Drama,,13+
7.1,2064.0,Dennis the Menace,Dennis the Menace,0,1959,1963,30,"Comedy,Family",302,1985.0,2.0,English,Kids,6.3,All
6.3,5255.0,Dennis the Menace,Dennis the Menace,0,1986,1988,30,"Animation,Comedy,Family",302,1985.0,2.0,English,Kids,6.3,All
6.6,201.0,Dennis the Menace,Dennis the Menace,0,1996,1998,22,"Animation,Comedy,Family",302,1985.0,2.0,English,Kids,6.3,All
7.9,304.0,Mr. Lucky,Mr. Lucky,0,1959,1960,30,"Comedy,Thriller",212,1960.0,1.0,English,Drama,,13+
8.4,36349.0,Doctor Who,Doctor Who,0,1963,1989,45,"Adventure,Drama,Family",30,2005.0,13.0,English,Sci-fi,,All
8.6,206828.0,Doctor Who,Doctor Who,0,2005,\N,45,"Adventure,Drama,Family",30,2005.0,13.0,English,Sci-fi,,All
7.3,1168.0,Stingray,Stingray,0,1964,1965,30,"Action,Adventure,Animation",199,1986.0,2.0,English,Drama,,16+
7.4,744.0,Stingray,Stingray,0,1985,1989,48,"Crime,Drama,Mystery",199,1986.0,2.0,English,Drama,,16+
7.1,2463.0,That Girl,That Girl,0,1966,1971,30,Comedy,320,1967.0,5.0,English,Comedy,7.1,7+
7.3,6176.0,Hawaii Five-O,Hawaii Five-O,0,1968,1980,60,"Crime,Drama,Mystery",119,2011.0,10.0,English,"Drama, Action",7.3,16+
6.9,811.0,Sigmund and the Sea Monsters,Sigmund and the Sea Monsters,0,1973,1975,30,"Comedy,Family",295,2017.0,1.0,English,Kids,6.9,All
7.2,156.0,Sigmund and the Sea Monsters,Sigmund and the Sea Monsters,0,2016,2017,25,"Comedy,Family",295,2017.0,1.0,English,Kids,6.9,All
8.5,66.0,Rush,Rush,0,1974,1976,50,"Adventure,Drama,History",117,2008.0,4.0,English,Drama,,18+
7.6,1712.0,Rush,Rush,0,2008,2011,45,"Crime,Drama,Mystery",117,2008.0,4.0,English,Drama,,18+
7.7,6149.0,Rush,Rush,0,2014,2014,44,"Action,Drama",117,2008.0,4.0,English,Drama,,18+
3.0,8.0,The Neighbors,The Neighbors,0,1975,1976,22,Game-Show,144,2014.0,2.0,Nederlands,Drama,,16+
6.8,8110.0,The Neighbors,The Neighbors,0,2012,2014,30,"Comedy,Family,Romance",144,2014.0,2.0,Nederlands,Drama,,16+
2.9,514.0,The Neighbors,The Neighbors,0,2014,\N,24,Comedy,144,2014.0,2.0,Nederlands,Drama,,16+
6.8,55.0,Hunter,Hunter,0,1976,\N,60,"Action,Adventure,Drama",156,1985.0,7.0,English,Drama,,16+
6.8,4368.0,Hunter,Hunter,0,1984,1991,48,"Action,Crime,Drama",156,1985.0,7.0,English,Drama,,16+
8.6,33.0,Hunter,Hunter,0,1967,1969,60,"Drama,Mystery",156,1985.0,7.0,English,Drama,,16+
7.2,388.0,Hunter,Hunter,0,2003,2003,60,"Action,Adventure,Crime",156,1985.0,7.0,English,Drama,,16+
5.3,8.0,Hunter,Hunter,0,2012,\N,\N,"Adventure,Sci-Fi",156,1985.0,7.0,English,Drama,,16+
2.2,5.0,Hunter,Hunter,0,2018,\N,\N,"Drama,Sci-Fi",156,1985.0,7.0,English,Drama,,16+
7.3,5185.0,The Greatest American Hero,The Greatest American Hero,0,1981,1983,60,"Adventure,Comedy,Sci-Fi",256,1981.0,3.0,English,Action,,16+
6.9,84.0,Strike Force,Strike Force,0,1981,2018,60,"Action,Crime,Drama",248,2014.0,2.0,Nederlands,Action,,16+
